word,pinyin
嘴巴,zui3 ba5
把,ba3
平静,ping2 jing4
豆腐,dou4 fu5
面条,mian4 tiao2
电脑,dian4 nao3
头疼,tou2 teng2
青菜,qing1 cai4
手机,shou3 ji1
心情,xin1 qing2
怎样,zen3 yang4
你,ni3
找,zhao3
穿,chuan1
热水,re4 shui3
喝,he1
碗,wan3
给,gei3
外卖,wai4 mai4
预约,yu4 yue1
我,wo3
菠萝,bo1 luo2
朋友,peng2 you5
漂亮,piao4 liang5
米饭,mi3 fan4
手巾,shou3 jin1
凳子,deng4 zi5
软糖,ruan3 tang2
厕所,ce4 suo3
篮球,lan2 qiu2
丝瓜,si1 gua1
香肠,xiang1 chang2
拿,na2
猪肉,zhu1 rou4
是,shi4
护士,hu4 shi5
口渴,kou3 ke3
鱼块,yu2 kuai4
玩,wan2
有,you3
汤圆,tang1 yuan2
帮助,bang1 zhu4
脸盆,lian3 pen2
衣服,yi1 fu5
放在,fang4 zai4
关门,guan1 men2
小刀,xiao3 dao1
醋,cu4
葱花,cong1 hua1
钢琴,gang1 qin2
蒜泥,suan4 ni2
需要,xu1 yao4
橙汁,cheng2 zhi1
吃,chi1
家人,jia1 ren2
换药,huan4 yao4
看,kan4
感觉,gan3 jue2
问题,wen4 ti2
音乐,yin1 yue4
愿意,yuan4 yi4
